Black,BlackElo,White,WhiteElo,Date,Event,First Move,Category,Weekday
Nabeelchess,1978,vishyanand02,1719,2019.04.30,Rated Blitz tournament https://lichess.org/tournament/wddEvhY9,e4,Blitz,Tuesday
Breathe21,1284,VladGV,1333,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
Chuckeye,1737,KnightsShadow,1719,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
Roky_Roky,1582,osskjc,1474,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
PSNIKOS1,1947,edgar41mx,1690,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
Komsult,1142,vtc777,1203,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
BDrennan98,1159,rockyman381,1096,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
Oske123,1318,FilipeRbk,1250,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
Ramazan_napolian,1159,rmedel64,1137,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
Hexo0,1111,Bigbulldog,1108,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
draughtsbrah,1509,IG2,1420,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
skydragon,1342,JasonK1904,1345,2019.04.30,Rated Classical game,e4,Classical,Tuesday
streamwave,1103,pawlos122,1218,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
Akior_senun,1057,satanicchacon,1309,2019.04.30,Rated Classical game,e4,Classical,Tuesday
ma7moudda,1298,kaayanpcs,1219,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
ex_5_libris,1322,sylvapat,1316,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
Plaqueoff,1420,VwVw777,1581,2019.04.30,Rated Rapid game,d4,Rapid,Tuesday
ujku,2354,lovlas,2435,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
bugraekicioglu,1044,MindCorruuupted,1112,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
noecaba,1901,Denis1980,1711,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
FRLawless,1172,Jakada,1191,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
Ev1lMinded88,1688,fseligo,1760,2019.04.30,Rated Classical game,e4,Classical,Tuesday
bg7kd94,1453,prateekSanyal,1441,2019.04.30,Rated Bullet game,d4,Bullet,Tuesday
Rajurams,1472,dr_gemmy,1420,2019.04.30,Rated Classical game,d4,Classical,Tuesday
